"","cow","year","milex","version"
"1","USA",1816,3823,2011
"2","USA",1817,2466,2011
"3","USA",1818,1910,2011
"4","USA",1819,2301,2011
"5","USA",1820,1556,2011
"6","USA",1821,1612,2011
"7","USA",1822,1079,2011
"8","USA",1823,1170,2011
"9","USA",1824,1261,2011
"10","USA",1825,1336,2011
"11","USA",1826,1658,2011
"12","USA",1827,1663,2011
"13","USA",1828,1622,2011
"14","USA",1829,1678,2011
"15","USA",1830,1687,2011
"16","USA",1831,1835,2011
"17","USA",1832,1896,2011
"18","USA",1833,2445,2011
"19","USA",1834,2073,2011
"20","USA",1835,2001,2011
"21","USA",1836,2571,2011
"22","USA",1837,3121,2011
"23","USA",1838,3083,2011
"24","USA",1839,2012,2011
"25","USA",1840,2755,2011
"26","USA",1841,3042,2011
"27","USA",1842,3011,2011
"28","USA",1843,1364,2011
"29","USA",1844,2432,2011
"30","USA",1845,3534,2011
"31","USA",1846,9506,2011
"32","USA",1847,7431,2011
"33","USA",1848,8106,2011
"34","USA",1849,3558,2011
"35","USA",1850,4302,2011
"36","USA",1851,3525,2011
"37","USA",1852,4226,2011
"38","USA",1853,4605,2011
"39","USA",1854,5765,2011
"40","USA",1855,5892,2011
"41","USA",1856,6117,2011
"42","USA",1857,7499,2011
"43","USA",1858,7297,2011
"44","USA",1859,5638,2011
"45","USA",1860,7060,2011
"46","USA",1861,95362,2011
"47","USA",1862,136769,2011
"48","USA",1863,119662,2011
"49","USA",1864,157390,2011
"50","USA",1865,30471,2011
"51","USA",1866,17821,2011
"52","USA",1867,30698,2011
"53","USA",1868,20154,2011
"54","USA",1869,16559,2011
"55","USA",1870,13128,2011
"56","USA",1871,11811,2011
"57","USA",1872,14246,2011
"58","USA",1873,15014,2011
"59","USA",1874,12899,2011
"60","USA",1875,11720,2011
"61","USA",1876,10749,2011
"62","USA",1877,9074,2011
"63","USA",1878,11367,2011
"64","USA",1879,10527,2011
"65","USA",1880,11414,2011
"66","USA",1881,11973,2011
"67","USA",1882,13040,2011
"68","USA",1883,11425,2011
"69","USA",1884,11438,2011
"70","USA",1885,9748,2011
"71","USA",1886,10382,2011
"72","USA",1887,10765,2011
"73","USA",1888,12647,2011
"74","USA",1889,13195,2011
"75","USA",1890,14788,2011
"76","USA",1891,15315,2011
"77","USA",1892,15654,2011
"78","USA",1893,16964,2011
"79","USA",1894,16001,2011
"80","USA",1895,15187,2011
"81","USA",1896,16382,2011
"82","USA",1897,30249,2011
"83","USA",1898,60011,2011
"84","USA",1899,38588,2011
"85","USA",1900,41481,2011
"86","USA",1901,36087,2011
"87","USA",1902,39722,2011
"88","USA",1903,43814,2011
"89","USA",1904,47918,2011
"90","USA",1905,45098,2011
"91","USA",1906,43602,2011
"92","USA",1907,58725,2011
"93","USA",1908,54189,2011
"94","USA",1909,56177,2011
"95","USA",1910,55880,2011
"96","USA",1911,57157,2011
"97","USA",1912,58992,2011
"98","USA",1913,62825,2011
"99","USA",1914,253205,2011
"100","USA",1915,257648,2011
"101","USA",1916,277421,2011
"102","USA",1917,658584,2011
"103","USA",1918,7014226,2011
"104","USA",1919,11217796,2011
"105","USA",1920,1657118,2011
"106","USA",1921,1116342,2011
"107","USA",1922,860853,2011
"108","USA",1923,678256,2011
"109","USA",1924,570142,2011
"110","USA",1925,589706,2011
"111","USA",1926,558004,2011
"112","USA",1927,596501,2011
"113","USA",1928,678100,2011
"114","USA",1929,701300,2011
"115","USA",1930,699200,2011
"116","USA",1931,698900,2011
"117","USA",1932,641600,2011
"118","USA",1933,570400,2011
"119","USA",1934,803100,2011
"120","USA",1935,806400,2011
"121","USA",1936,932600,2011
"122","USA",1937,1032900,2011
"123","USA",1938,1131499,2011
"124","USA",1939,980000,2011
"125","USA",1940,1657000,2011
"126","USA",1941,6301000,2011
"127","USA",1942,26001000,2011
"128","USA",1943,72109000,2011
"129","USA",1944,87000000,2011
