"","X","country","year","war","onset","pop","polity2","gdppc","region","mtn","oil","ethfrac","cow"
"1",1,"USA",1945,0,0,140969,10,7.625999928,"western democracies and japan",-99,0,0.356950104,"USA"
"2",2,"USA",1946,0,0,141936,10,7.653999805,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"3",3,"USA",1947,0,0,142713,10,8.024999619,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"4",4,"USA",1948,0,0,145326,10,8.270000458,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"5",5,"USA",1949,0,0,147987,10,8.039999962,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"6",6,"USA",1950,0,0,152273,10,8.772000313,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"7",7,"USA",1951,0,0,155000,10,9.109000206,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"8",8,"USA",1952,0,0,157727,10,9.074000359,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"9",9,"USA",1953,0,0,160475,10,9.300000191,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"10",10,"USA",1954,0,0,163202,10,9.088999748,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"11",11,"USA",1955,0,0,165929,10,9.722999573,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"12",12,"USA",1956,0,0,168882,10,9.711999893,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"13",13,"USA",1957,0,0,171835,10,9.642999649,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"14",14,"USA",1958,0,0,174767,10,9.369999886,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"15",15,"USA",1959,0,0,177720,10,9.838999748,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"16",16,"USA",1960,0,0,180673,10,9.895000458,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"17",17,"USA",1961,0,0,183687,10,9.946000099,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"18",18,"USA",1962,0,0,186537,10,10.3579998,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"19",19,"USA",1963,0,0,189244,10,10.6420002,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"20",20,"USA",1964,0,0,191889,10,11.07199955,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"21",21,"USA",1965,0,0,194309,10,11.64900017,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"22",22,"USA",1966,0,0,196564,10,12.16399956,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"23",23,"USA",1967,0,0,198717,10,12.31799984,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"24",24,"USA",1968,0,0,200706,10,12.72299957,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"25",25,"USA",1969,0,0,202675,10,12.97500038,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"26",26,"USA",1970,0,0,205052,10,12.9630003,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"27",27,"USA",1971,0,0,207661,10,13.2329998,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"28",28,"USA",1972,0,0,209896,10,13.74699974,"western democracies and japan",23.90000153,0,0.356950104,"USA"
"29",29,"USA",1973,0,0,211909,10,14.37899971,"western democracies and japan",23.90000153,0,0.356950104,"USA"
